word,parent_word
আউলাইয়া,আউলানো
আওড়াইয়া,আওড়ানো
আঁচড়াইয়া,আঁচড়ানো
আচড়াইয়া,আচড়ানো
আগলাইয়া,আগলানো
আগাইয়া,আগানো
আছড়াইয়া,আছড়ানো
আটকাইয়া,আটকানো
আনাইয়া,আনানো
আলাইয়া,আলানো
আলগাইয়া,আলগানো
উঁচলাইয়া,উঁচলানো
উচলাইয়া,উচলানো
উঁচাইয়া,উঁচানো
উচাইয়া,উচানো
উখড়াইয়া,উখড়ানো
উগরাইয়া,উগরানো
উজাইয়া,উজানো
উতরাইয়া,উতরানো
উপড়াইয়া,উপড়ানো
উসকাইয়া,উসকানো
এড়াইয়া,এড়ানো
এলাইয়া,এলানো
ওঠাইয়া,ওঠানো
ওড়াইয়া,ওড়ানো
ওলটাইয়া,ওলটানো
কচলাইয়া,কচলানো
করাইয়া,করানো
কষাইয়া,কষানো
কাঁড়াইয়া,কাঁড়ানো
কাড়াইয়া,কাড়ানো
কাঁদাইয়া,কাঁদানো
কাদাইয়া,কাদানো
কাঁপাইয়া,কাঁপানো
কাপাইয়া,কাপানো
কামড়াইয়া,কামড়ানো
কুঁকড়াইয়া,কুঁকড়ানো
কুকড়াইয়া,কুকড়ানো
কুঁচকাইয়া,কুঁচকানো
কুচকাইয়া,কুচকানো
কুড়াইয়া,কুড়ানো
কুরাইয়া,কুরানো
কুলাইয়া,কুলানো
কোপাইয়া,কোপানো
খন্ডাইয়া,খন্ডানো
খাওয়াইয়া,খাওয়ানো
খাটাইয়া,খাটানো
খামচাইয়া,খামচানো
খিঁচাইয়া,খিঁচানো
খিচাইয়া,খিচানো
খেদাইয়া,খেদানো
খেপাইয়া,খেপানো
খেলাইয়া,খেলানো
খােয়াইয়া,খােয়ানো
গড়াইয়া,গড়ানো
গলাইয়া,গলানো
গুঁতাইয়া,গুঁতানো
গুজরাইয়া,গুজরানো
গুলাইয়া,গুলানো
গেলাইয়া,গেলানো
গােঙাইয়া,গােঙানো
গােছাইয়া,গােছানো
গােটাইয়া,গােটানো
ঘটাইয়া,ঘটানো
ঘনাইয়া,ঘনানো
ঘাবড়াইয়া,ঘাবড়ানো
ঘুচাইয়া,ঘুচানো
ঘুমাইয়া,ঘুমানো
ঘােলাইয়া,ঘােলানো
ঘ্যাঙাইয়া,ঘ্যাঙানো
চটকাইয়া,চটকানো
চড়াইয়া,চড়ানো
চমকাইয়া,চমকানো
চরাইয়া,চরানো
চলাইয়া,চলানো
চষাইয়া,চষানো
চালাইয়া,চালানো
চেঁচাইয়া,চেঁচানো
চেচাইয়া,চেচানো
ছড়াইয়া,ছড়ানো
ছােটাইয়া,ছােটানো
ছােপাইয়া,ছােপানো
ছ্যাঁচড়াইয়া,ছ্যাঁচড়ানো
ছ্যাচড়াইয়া,ছ্যাচড়ানো
জড়াইয়া,জড়ানো
জমাইয়া,জমানো
জাগাইয়া,জাগানো
জানাইয়া,জানানো
জোগাইয়া,জোগানো
জোটাইয়া,জোটানো
জ্বালাইয়া,জ্বালানো
ঝাঁপাইয়া,ঝাঁপানো
ঝাপাইয়া,ঝাপানো
ঝুঁড়াইয়া,ঝুঁড়ানো
ঝুড়াইয়া,ঝুড়ানো
টানাইয়া,টানানো
ঠকাইয়া,ঠকানো
ঠাওরাইয়া,ঠাওরানো
ঠোকরাইয়া,ঠোকরানো
ডরাইয়া,ডরানো
ডুবাইয়া,ডুবানো
ঢলাইয়া,ঢলানো
তাকাইয়া,তাকানো
তাড়াইয়া,তাড়ানো
তােতলাইয়া,তােতলানো
তােলাইয়া,তােলানো
থাবড়াইয়া,থাবড়ানো
থাপড়াইয়া,থাপড়ানো
থুবড়াইয়া,থুবড়ানো
থ্যাঁতলাইয়া,থ্যাঁতলানো
থ্যাতলাইয়া,থ্যাতলানো
দমাইয়া,দমানো
দাঁড়াইয়া,দাঁড়ানো
দাড়াইয়া,দাড়ানো
দাগাইয়া,দাগানো
দাবড়াইয়া,দাবড়ানো
দেখাইয়া,দেখানো
দোমড়াইয়া,দোমড়ানো
দোয়াইয়া,দোয়ানো
দোলাইয়া,দোলানো
দৌড়াইয়া,দৌড়ানো
ধমকাইয়া,ধমকানো
ধরাইয়া,ধরানো
ধাক্কাইয়া,ধাক্কানো
ধােয়াইয়া,ধােয়ানো
নাচাইয়া,নাচানো
নাড়াইয়া,নাড়ানো
নামাইয়া,নামানো
নিংড়াইয়া,নিংড়ানো
নিকাইয়া,নিকানো
নিবাইয়া,নিবানো
নেতাইয়া,নেতানো
ন্যাতাইয়া,ন্যাতানো
নােয়াইয়া,নােয়ানো
পচাইয়া,পচানো
পটাইয়া,পটানো
পড়াইয়া,পড়ানো
পস্তাইয়া,পস্তানো
পাকাইয়া,পাকানো
পাতাইয়া,পাতানো
পালাইয়া,পালানো
পিছাইয়া,পিছানো
পিটাইয়া,পিটানো
পেটাইয়া,পেটানো
প্যাঁদাইয়া,প্যাঁদানো
প্যাদাইয়া,প্যাদানো
ফলাইয়া,ফলানো
ফুলাইয়া,ফুলানো
ফুসলাইয়া,ফুসলানো
ফেনাইয়া,ফেনানো
ফেরাইয়া,ফেরানো
ফোটাইয়া,ফোটানো
বদলাইয়া,বদলানো
বসাইয়া,বসানো
বাঁকাইয়া,বাঁকানো
বাকাইয়া,বাকানো
বাঁধাইয়া,বাঁধানো
বাধাইয়া,বাধানো
বাজাইয়া,বাজানো
বাড়াইয়া,বাড়ানো
বানাইয়া,বানানো
বিছাইয়া,বিছানো
বিলাইয়া,বিলানো
বেড়াইয়া,বেড়ানো
বোঝাইয়া,বোঝানো
বােনাইয়া,বােনানো
বােলাইয়া,বােলানো
ভাপাইয়া,ভাপানো
পােড়াইয়া,পােড়ানো
ভাবাইয়া,ভাবানো
ভাসাইয়া,ভাসানো
ভেজাইয়া,ভেজানো
ভােগাইয়া,ভােগানো
ভােলাইয়া,ভােলানো
মাখাইয়া,মাখানো
মাতাইয়া,মাতানো
মানাইয়া,মানানো
মিটাইয়া,মিটানো
মিলাইয়া,মিলানো
মেলাইয়া,মেলানো
মুচড়াইয়া,মুচড়ানো
মুড়াইয়া,মুড়ানো
মেলাইয়া,মেলানো
মেশাইয়া,মেশানো
রাগাইয়া,রাগানো
লাগাইয়া,লাগানো
লাফাইয়া,লাফানো
লুকাইয়া,লুকানো
লুটাইয়া,লুটানো
শুকাইয়া,শুকানো
শুধাইয়া,শুধানো
শেখাইয়া,শেখানো
শােধরাইয়া,শােধরানো
শােনাইয়া,শােনানো
শােয়াইয়া,শােয়ানো
সাজাইয়া,সাজানো
সাধাইয়া,সাধানো
সামলাইয়া,সামলানো
হাঁকাইয়া,হাঁকানো
হাকাইয়া,হাকানো
হাতড়াইয়া,হাতড়ানো
হাতাইয়া,হাতানো
হারাইয়া,হারানো
হাসাইয়া,হাসানো
কামাইয়া,কামানো
কাটাইয়া,কাটানো
অস্তাইয়া,অস্তানো
আইসাইয়া,আইসানো
আউটাইয়া,আউটানো
আউরাইয়া,আউরানো
আওটাইয়া,আওটানো
আঙলাইয়া,আঙলানো
উছলাইয়া,উছলানো
উঠাইয়া,উঠানো
উথলাইয়া,উথলানো
উপচাইয়া,উপচানো
উবাইয়া,উবানো
উলটাইয়া,উলটানো
এড়াইয়া,এড়ানো
ওঁচাইয়া,ওঁচানো
ওচাইয়া,ওচানো
ওখরাইয়া,ওখরানো
ওগরাইয়া,ওগরানো
ওচাইয়া,ওচানো
ওল্টাইয়া,ওল্টানো
কশাইয়া,কশানো
কামড়াইয়া,কামড়ানো
কাশাইয়া,কাশানো
কাড়াইয়া,কাড়ানো
কিনাইয়া,কিনানো
কুচাইয়া,কুচানো
কড়কাইয়া,কড়কানো
খসাইয়া,খসানো
খিচাইয়া,খিচানো
খুঁটাইয়া,খুঁটানো
খুটাইয়া,খুটানো
খুলাইয়া,খুলানো
খেঁচাইয়া,খেঁচানো
