word,parent_word
আউলিয়ে,আউলানো
আওড়িয়ে,আওড়ানো
আঁচড়িয়ে,আঁচড়ানো
আচড়িয়ে,আচড়ানো
আগলিয়ে,আগলানো
আগিয়ে,আগানো
আছড়িয়ে,আছড়ানো
আটকিয়ে,আটকানো
আনিয়ে,আনানো
আলিয়ে,আলানো
আলগিয়ে,আলগানো
উঁচলিয়ে,উঁচলানো
উচলিয়ে,উচলানো
উঁচিয়ে,উঁচানো
উচিয়ে,উচানো
উখড়িয়ে,উখড়ানো
উগরিয়ে,উগরানো
উজিয়ে,উজানো
উতরিয়ে,উতরানো
উপড়িয়ে,উপড়ানো
উসকিয়ে,উসকানো
এড়িয়ে,এড়ানো
এলিয়ে,এলানো
ওঠিয়ে,ওঠানো
ওড়িয়ে,ওড়ানো
ওলটিয়ে,ওলটানো
কচলিয়ে,কচলানো
করিয়ে,করানো
কষিয়ে,কষানো
কাঁড়িয়ে,কাঁড়ানো
কাড়িয়ে,কাড়ানো
কাঁদিয়ে,কাঁদানো
কাদিয়ে,কাদানো
কাঁপিয়ে,কাঁপানো
কাপিয়ে,কাপানো
কামড়িয়ে,কামড়ানো
কুঁকড়িয়ে,কুঁকড়ানো
কুকড়িয়ে,কুকড়ানো
কুঁচকিয়ে,কুঁচকানো
কুচকিয়ে,কুচকানো
কুড়িয়ে,কুড়ানো
কুরিয়ে,কুরানো
কুলিয়ে,কুলানো
কোপিয়ে,কোপানো
খন্ডিয়ে,খন্ডানো
খাওয়িয়ে,খাওয়ানো
খাটিয়ে,খাটানো
খামচিয়ে,খামচানো
খিঁচিয়ে,খিঁচানো
খিচিয়ে,খিচানো
খেদিয়ে,খেদানো
খেপিয়ে,খেপানো
খেলিয়ে,খেলানো
খুইয়ে,খােয়ানো
গড়িয়ে,গড়ানো
গলিয়ে,গলানো
গুঁতিয়ে,গুঁতানো
গুজরিয়ে,গুজরানো
গুলিয়ে,গুলানো
গেলিয়ে,গেলানো
গুঙিয়ে,গােঙানো
গুছিয়ে,গােছানো
গুটিয়ে,গােটানো
ঘটিয়ে,ঘটানো
ঘনিয়ে,ঘনানো
ঘাবড়িয়ে,ঘাবড়ানো
ঘুচিয়ে,ঘুচানো
ঘুমিয়ে,ঘুমানো
ঘুলিয়ে,ঘােলানো
ঘ্যাঙিয়ে,ঘ্যাঙানো
চটকিয়ে,চটকানো
চড়িয়ে,চড়ানো
চমকিয়ে,চমকানো
চরিয়ে,চরানো
চলিয়ে,চলানো
চষিয়ে,চষানো
চালিয়ে,চালানো
চেঁচিয়ে,চেঁচানো
চেচিয়ে,চেচানো
ছড়িয়ে,ছড়ানো
ছুটিয়ে,ছােটানো
ছুপিয়ে,ছােপানো
ছ্যাঁচড়িয়ে,ছ্যাঁচড়ানো
ছ্যাচড়িয়ে,ছ্যাচড়ানো
জড়িয়ে,জড়ানো
জমিয়ে,জমানো
জাগিয়ে,জাগানো
জানিয়ে,জানানো
জোগিয়ে,জোগানো
জোটিয়ে,জোটানো
জ্বালিয়ে,জ্বালানো
ঝাঁপিয়ে,ঝাঁপানো
ঝাপিয়ে,ঝাপানো
ঝুঁড়িয়ে,ঝুঁড়ানো
ঝুড়িয়ে,ঝুড়ানো
টানিয়ে,টানানো
ঠকিয়ে,ঠকানো
ঠাওরিয়ে,ঠাওরানো
ঠোকরিয়ে,ঠোকরানো
ডরিয়ে,ডরানো
ডুবিয়ে,ডুবানো
ঢলিয়ে,ঢলানো
তাকিয়ে,তাকানো
