parent_verbs,index
অস্তা,610
অস্তানো,575
আঁকা,211
আঁচড়ানো,650
আঁটা,333
আইসানো,563
আউটা,262
আউটানো,239
আউরা,596
আউরানো,296
আউলানো,216
আউড়া,304
আউড়ানো,661
আওটা,736
আওটানো,509
আওড়ানো,568
আকা,264
আগলানো,46
আগানো,363
আঙলা,583
আঙলানো,138
আচড়ানো,295
আছড়ানো,19
আটকানো,435
আটা,512
আনা,604
আনানো,498
আলগানো,616
আলানো,180
আসা,230
উঁচলানো,171
উঁচানো,248
উখড়ানো,456
উগরানো,629
উচলানো,555
উচানো,584
উছলা,313
উছলানো,254
উজানো,727
উঠানো,684
উতরানো,416
উথলা,586
উথলানো,685
উপচা,484
উপচানো,212
উপড়ানো,122
উবানো,0
উলটা,562
উলটানো,320
উসকানো,90
এলা,600
এলানো,564
এড়া,82
এড়ানো,249
ওঁচানো,574
ওখরানো,642
ওখড়া,686
ওগরা,129
ওগরানো,93
ওচানো,688
ওঠা,233
ওঠানো,207
ওলটানো,569
ওল্টা,114
ওল্টানো,635
ওড়া,148
ওড়ানো,674
কওয়া,103
কচলানো,23
কর,327
করা,607
করানো,401
কশানো,378
কষানো,390
কসা,536
কাঁদা,30
কাঁদানো,589
কাঁপা,475
কাঁপানো,28
কাঁড়া,421
কাঁড়ানো,691
কাচা,570
কাটা,438
কাটানো,352
কাদা,513
কাদানো,123
কাপা,150
কাপানো,520
কামা,700
কামানো,244
কামড়ানো,422
কাশা,359
কাশানো,257
কাড়া,356
কাড়ানো,152
কিনা,601
কিনানো,668
কুঁকড়ানো,266
কুঁচকানো,552
কুকড়ানো,483
কুচকানো,597
কুচা,417
কুচানো,307
কুরানো,60
কুলানো,206
কুড়ানো,332
কেনা,164
কোটা,606
কোপানো,662
কড়কা,436
কড়কানো,40
খণ্ডানো,406
খন্ডানো,732
খসা,699
খসানো,507
খাওয়া,243
খাওয়ানো,282
খাটা,459
খাটানো,222
খামচানো,492
খায়ানো,278
খিঁচানো,293
খিচা,173
খিচানো,712
খুঁজা,481
খুঁটা,220
খুঁটানো,708
খুজা,72
খুটা,61
খুটানো,458
খুলা,205
খুলানো,371
খেঁচা,460
খেঁচানো,382
খেচা,648
খেচানো,305
খেদানো,338
খেপা,627
খেপানো,105
খেলা,219
খেলানো,85
খোঁজা,208
খোঁজানো,599
খোজা,156
খোজানো,499
খোলা,657
গছা,360
গছানো,598
গজা,663
গজানো,106
গলানো,24
গাঁথা,199
গাওয়া,547
গাঙানো,127
গাছানো,491
গাটানো,558
গাথা,395
গানা,442
গানানো,514
গাড়া,515
গাড়ানো,449
গুঁজা,608
গুঁতা,630
গুঁতানো,517
গুঁড়া,147
গুঁড়ানো,386
গুঙা,9
গুঙানো,21
গুছা,163
গুছানো,612
গুজরানো,3
গুজা,288
গুটা,571
গুটানো,385
গুতা,47
গুনা,701
গুনানো,689
গুলানো,535
গুড়া,22
গুড়ানো,182
গেলা,68
গেলানো,609
গড়া,253
গড়ানো,108
ঘটানো,605
ঘনানো,153
ঘবড়া,682
ঘষা,541
ঘষানো,666
ঘাঁটা,529
ঘাটা,614
ঘাবড়ানো,703
ঘারা,566
ঘারানো,488
ঘালানো,658
ঘিরা,45
ঘিরানো,479
ঘুচানো,160
ঘুটা,653
ঘুটানো,86
ঘুমানো,628
