pronoun,pronoun_tag,number_tag,honorificity,case,proximity,encoding,index
অন্যে,Pro.Het,Sing,,,,,0
অপরে,Pro.Het,Sing,,,,,1
অমুক,Pro.Het,Sing,,,,,2
আপনাকে,Pro.Pers2,Sing,intimate,genitive,None,,3
আপনাদের,Pro.Pers2,Plu,intimate,genitive,None,,4
আপনাদেরকে,Pro.Pers2,Plu,informal,genitive,None,,5
আপনার,Pro.Pers2,Sing,informal,direct,None,,6
আপনারা,Pro.Pers2,Plu,informal,objective,None,,7
আপনি,Pro.Pers2,Sing,informal,genitive,None,,8
আমরা,Pro.Pers1,Plu,None,direct,None,,9
আমাকে,Pro.Pers1,Sing,None,objective,None,Pro.Pers1.Sing.Non.obj.Non,10
আমাদের,Pro.Pers1,Plu,None,genitive,None,,11
আমাদেরকে,Pro.Pers1,Plu,None,objective,None,,12
আমার,Pro.Pers1,Sing,None,genitive,None,,13
আমি,Pro.Pers1,Sing,None,direct,None,Pro.Pers1.Sing.Non.dir.Non,14
ইনি,Pro.Pers3,Sing,formal,genitive,proximal,,15
উনি,Pro.Pers3,Sing,formal,genitive,medial,,16
এ ,Pro.Dem,Sing,,,,,17
এ,Pro.Dem,Sing,informal,direct,None,,18
এঁকে / এনাকে / ইনাকে,Pro.Pers3,Sing,formal,direct,proximal,,19
এঁদের / এনাদের / ইনাদের ,Pro.Pers3,Plu,formal,objective,proximal,,20
এঁদেরকে / এনাদেরকে / ইনাদেরকে,Pro.Pers3,Plu,formal,direct,proximal,,21
এঁর / এঁনার / ইনার,Pro.Pers3,Sing,formal,objective,proximal,,22
এঁরা / ইনারা,Pro.Pers3,Plu,formal,genitive,proximal,,23
একজন,Pro.Indef,Sing,,,,,24
একজনকে,Pro.Indef,Sing,,,,,25
একটা,Pro.Indef,Sing,,,,,26
একটাকে,Pro.Indef,Sing,,,,,27
একে,Pro.Pers3,Sing,informal,objective,None,,28
এগুলি,Pro.Dem,Plu,,,,,29
এগুলো,Pro.Dem,Plu,,,,,30
এদের,Pro.Pers3,Plu,informal,genitive,proximal,,31
এদেরকে,Pro.Pers3,Plu,informal,objective,proximal,,32
এর,Pro.Dem,Sing,informal,genitive,proximal,,33
এরা,Pro.Dem,Plu,,,,,34
এরা,Pro.Dem,Plu,informal,direct,proximal,,35
ও,Pro.Pers3,Sing,informal,direct,medial,,36
ওঁকে / ওনাকে / উনাকে,Pro.Pers3,Sing,formal,direct,medial,,37
ওঁদের / ওনাদের / উনাদের,Pro.Pers3,Plu,formal,genitive,medial,,38
ওঁদেরকে / ওনাদেরকে / উনাদেরকে,Pro.Pers3,Plu,formal,objective,medial,,39
ওঁর / ওনাদের / উনাদের,Pro.Pers3,Plu,formal,objective,medial,,40
ওঁরা / উনারা,Pro.Pers3,Plu,formal,direct,medial,,41
ওই,Pro.Dem,Sing,,,,,42
ওকে,Pro.Pers3,Sing,informal,objective,medial,,43
ওগুলি,Pro.Dem,Plu,,,,,44
ওগুলো,Pro.Dem,Plu,,,,,45
ওদের,Pro.Pers3,Plu,informal,objective,medial,,46
ওদেরকে,Pro.Pers3,Plu,informal,direct,medial,,47
ওর,Pro.Pers3,Sing,informal,genitive,medial,,48
ওরা,Pro.Pers3,Plu,informal,direct,medial,,49
