,verb,Ami,Tumi,Tui,Apni,Shey,,,
0,অস্তা,,,,,,,,
1,অস্তানো,,,,,,,,
2,আঁকা,আঁকাইনি,আঁকাওনি,আঁকাসনি,আঁকাননি,আঁকায়নি,,,
3,আঁচড়ানো,আঁচড়াইনি,আঁচড়াওনি,আঁচড়াসনি,আঁচড়াননি,আঁচড়ায়নি,,,
4,আঁটা,আঁটিনি,আঁটোনি,আঁটিসনি,আঁটেননি,আঁটেনি,,,"(POS, verb_#, tense, person, negation, conjugate)"
5,আইসানো,,,,,,,,"(POS, 344, 2, 4, 0, 0)"
6,আউটা,,,,,,,,
7,আউটানো,,,,,,,,
8,আউড়া,আউড়িনি,আউড়োনি,আউড়েসনি,আউড়েননি,আউড়েনি,,,pronoun
9,আউড়ানো,আউড়াইনি,আউড়াওনি,আউড়াসনি,আউড়াননি,আউড়ায়নি,,,"(POS, 3, 3, 4, 3, 3, 3)"
10,আউলানো,আউলাইনি,আউলাওনি,আউলাসনি,আউলাননি,আউলায়নি,,,
11,আওটা,আওটিনি,আওটোনি,আওটিসনি,আওটেননি,আওটেনি,,,
12,আওটানো,আওটাইনি,আওটাওনি,আওটাসনি,আওটাননি,আওটায়নি,,,
13,আওড়ানো,আওড়াইনি,আওড়াওনি,আওড়াসনি,আওড়াননি,আওড়ায়নি,,,
14,আগলানো,আগলাইনি,আগলাওনি,আগলাসনি,আগলাননি,আগলায়নি,,,
15,আগানো,আগাইনি,আগাওনি,আগাসনি,আগাননি,আগায়নি,,,
16,আঙলা,আঙলিনি,আঙলোনি,আঙলিসনি,আঙলেননি,আঙলেনি,,,
17,আঙলানো,আঙলাইনি,আঙলাওনি,আঙলাসনি,আঙলাননি,আঙলায়নি,,,
18,আছড়ানো,আছড়াইনি,আছড়াওনি,আছড়াসনি,আছড়াননি,আছড়ায়নি,,,
19,আটকানো,আটকাইনি,আটকাওনি,আটকাসনি,আটকাননি,আটকায়নি,,,
