word,parent_word,tense,person,negation
অস্ত,অস্তা,bo,tu,0
অস্তছ,অস্তা,gb,tm,0
অস্তছি,অস্তা,gb,am,0
অস্তছিল,অস্তা,go,ae,0
অস্তছিল,অস্তা,go,er,0
অস্তছিলাম,অস্তা,go,am,0
অস্তছিলি,অস্তা,go,tu,0
অস্তছিলে,অস্তা,go,tm,0
অস্তছিলেন,অস্তা,go,ap,0
অস্তছিলেন,অস্তা,go,eR,0
অস্তছিলেন,অস্তা,go,in,0
অস্তছিস,অস্তা,gb,tu,0
অস্তছে,অস্তা,gb,ae,0
অস্তছে,অস্তা,gb,er,0
অস্তছেন,অস্তা,gb,ap,0
অস্তছেন,অস্তা,gb,eR,0
অস্তছেন,অস্তা,gb,in,0
অস্তত,অস্তা,no,ae,0
অস্তত,অস্তা,no,er,0
অস্ততাম,অস্তা,no,am,0
অস্ততিস,অস্তা,no,tu,0
অস্ততে থাকব,অস্তা,gv,am,0
অস্ততে থাকবি,অস্তা,gv,tu,0
অস্ততে থাকবে,অস্তা,gv,ae,0
অস্ততে থাকবে,অস্তা,gv,er,0
অস্ততে থাকবে,অস্তা,gv,tm,0
অস্ততে থাকবেন,অস্তা,gv,ap,0
অস্ততে থাকবেন,অস্তা,gv,eR,0
অস্ততে থাকবেন,অস্তা,gv,in,0
অস্ততে,অস্তা,no,tm,0
অস্ততেন,অস্তা,no,ap,0
অস্ততেন,অস্তা,no,eR,0
অস্ততেন,অস্তা,no,in,0
অস্তব,অস্তা,sv,am,0
অস্তবি,অস্তা,sv,tu,0
অস্তবি,অস্তা,vo,tu,0
অস্তবে,অস্তা,sv,ae,0
অস্তবে,অস্তা,sv,er,0
অস্তবে,অস্তা,sv,tm,0
অস্তবে,অস্তা,vo,tm,0
অস্তবেন,অস্তা,sv,ap,0
অস্তবেন,অস্তা,sv,eR,0
অস্তবেন,অস্তা,sv,in,0
অস্তবেন,অস্তা,vo,ap,0
অস্তবো,অস্তা,sv,am,0
অস্তল,অস্তা,so,ae,0
অস্তল,অস্তা,so,er,0
অস্তলাম,অস্তা,so,am,0
অস্তলি,অস্তা,so,tu,0
অস্তলে,অস্তা,so,tm,0
অস্তলেন,অস্তা,so,ap,0
অস্তলেন,অস্তা,so,eR,0
অস্তলেন,অস্তা,so,in,0
অস্তা,অস্তানো,bo,tu,0
অস্তাই,অস্তানো,sb,am,0
অস্তাইতে,অস্তানো,no,tm,0
অস্তাইলে,অস্তানো,so,tm,0
অস্তাও,অস্তানো,bo,tm,0
অস্তাও,অস্তানো,sb,tm,0
অস্তাচ্ছ,অস্তানো,gb,tm,0
অস্তাচ্ছি,অস্তানো,gb,am,0
অস্তাচ্ছিল,অস্তানো,go,ae,0
অস্তাচ্ছিল,অস্তানো,go,er,0
অস্তাচ্ছিলাম,অস্তানো,go,am,0
অস্তাচ্ছিলি,অস্তানো,go,tu,0
অস্তাচ্ছিলে,অস্তানো,go,tm,0
অস্তাচ্ছিলেন,অস্তানো,go,ap,0
অস্তাচ্ছিলেন,অস্তানো,go,eR,0
অস্তাচ্ছিলেন,অস্তানো,go,in,0
অস্তাচ্ছিস,অস্তানো,gb,tu,0
অস্তাচ্ছে,অস্তানো,gb,ae,0
অস্তাচ্ছে,অস্তানো,gb,er,0
অস্তাচ্ছেন,অস্তানো,gb,ap,0
অস্তাচ্ছেন,অস্তানো,gb,eR,0
অস্তাচ্ছেন,অস্তানো,gb,in,0
অস্তাত,অস্তানো,no,ae,0
অস্তাত,অস্তানো,no,er,0
অস্তাতাম,অস্তানো,no,am,0
অস্তাতিস,অস্তানো,no,tu,0
অস্তাতে থাকব,অস্তানো,gv,am,0
অস্তাতে থাকবি,অস্তানো,gv,tu,0
অস্তাতে থাকবে,অস্তানো,gv,ae,0
অস্তাতে থাকবে,অস্তানো,gv,er,0
অস্তাতে থাকবে,অস্তানো,gv,tm,0
অস্তাতে থাকবেন,অস্তানো,gv,ap,0
অস্তাতে থাকবেন,অস্তানো,gv,eR,0
অস্তাতে থাকবেন,অস্তানো,gv,in,0
অস্তাতে,অস্তানো,no,tm,0
অস্তাতেন,অস্তানো,no,ap,0
অস্তাতেন,অস্তানো,no,eR,0
অস্তাতেন,অস্তানো,no,in,0
অস্তান,অস্তানো,bo,ap,0
অস্তান,অস্তানো,sb,ap,0
অস্তান,অস্তানো,sb,eR,0
অস্তান,অস্তানো,sb,in,0
অস্তাব,অস্তানো,sv,am,0
অস্তাবি,অস্তানো,sv,tu,0
অস্তাবি,অস্তানো,vo,tu,0
অস্তাবে,অস্তানো,sv,ae,0
অস্তাবে,অস্তানো,sv,er,0
অস্তাবে,অস্তানো,sv,tm,0
অস্তাবে,অস্তানো,vo,tm,0
অস্তাবেন,অস্তানো,sv,ap,0
অস্তাবেন,অস্তানো,sv,eR,0
অস্তাবেন,অস্তানো,sv,in,0
অস্তাবেন,অস্তানো,vo,ap,0
অস্তাবো,অস্তানো,sv,am,0
অস্তাল,অস্তানো,so,ae,0
অস্তাল,অস্তানো,so,er,0
অস্তালাম,অস্তানো,so,am,0
অস্তালি,অস্তানো,so,tu,0
অস্তালে,অস্তানো,so,tm,0
অস্তালেন,অস্তানো,so,ap,0
অস্তালেন,অস্তানো,so,eR,0
অস্তালেন,অস্তানো,so,in,0
অস্তাস,অস্তানো,sb,tu,0
অস্তায়,অস্তানো,sb,ae,0
অস্তায়,অস্তানো,sb,er,0
অস্তি,অস্তা,sb,am,0
অস্তিস,অস্তা,sb,tu,0
অস্তিয়েছ,অস্তানো,pb,tm,0
অস্তিয়েছি,অস্তানো,pb,am,0
অস্তিয়েছিল,অস্তানো,po,ae,0
অস্তিয়েছিল,অস্তানো,po,er,0
অস্তিয়েছিলাম,অস্তানো,po,am,0
অস্তিয়েছিলি,অস্তানো,po,tu,0
অস্তিয়েছিলে,অস্তানো,po,tm,0
অস্তিয়েছিলেন,অস্তানো,po,ap,0
অস্তিয়েছিলেন,অস্তানো,po,eR,0
অস্তিয়েছিলেন,অস্তানো,po,in,0
অস্তিয়েছিস,অস্তানো,pb,tu,0
অস্তিয়েছে,অস্তানো,pb,ae,0
অস্তিয়েছে,অস্তানো,pb,er,0
অস্তিয়েছেন,অস্তানো,pb,ap,0
অস্তিয়েছেন,অস্তানো,pb,eR,0
অস্তিয়েছেন,অস্তানো,pb,in,0
অস্তুন,অস্তা,bo,ap,0
অস্তে,অস্তা,sb,ae,0
অস্তে,অস্তা,sb,er,0
অস্তেছ,অস্তা,pb,tm,0
অস্তেছি,অস্তা,pb,am,0
অস্তেছিল,অস্তা,po,ae,0
অস্তেছিল,অস্তা,po,er,0
অস্তেছিলাম,অস্তা,po,am,0
অস্তেছিলি,অস্তা,po,tu,0
অস্তেছিলে,অস্তা,po,tm,0
অস্তেছিলেন,অস্তা,po,ap,0
অস্তেছিলেন,অস্তা,po,eR,0
অস্তেছিলেন,অস্তা,po,in,0
অস্তেছিস,অস্তা,pb,tu,0
অস্তেছে,অস্তা,pb,ae,0
অস্তেছে,অস্তা,pb,er,0
অস্তেছেন,অস্তা,pb,ap,0
অস্তেছেন,অস্তা,pb,eR,0
অস্তেছেন,অস্তা,pb,in,0
অস্তেন,অস্তা,bo,ap,0
অস্তেন,অস্তা,sb,ap,0
অস্তেন,অস্তা,sb,eR,0
অস্তেন,অস্তা,sb,in,0
অস্তো,অস্তা,bo,tm,0
অস্তো,অস্তা,sb,tm,0
আঁক,আঁকা,bo,tu,0
আঁকছ,আঁকা,gb,tm,0
আঁকছি,আঁকা,gb,am,0
আঁকছিল,আঁকা,go,ae,0
আঁকছিল,আঁকা,go,er,0
আঁকছিলাম,আঁকা,go,am,0
আঁকছিলি,আঁকা,go,tu,0
আঁকছিলে,আঁকা,go,tm,0
আঁকছিলেন,আঁকা,go,ap,0
আঁকছিলেন,আঁকা,go,eR,0
আঁকছিলেন,আঁকা,go,in,0
আঁকছিস,আঁকা,gb,tu,0
আঁকছে,আঁকা,gb,ae,0
আঁকছে,আঁকা,gb,er,0
আঁকছেন,আঁকা,gb,ap,0
আঁকছেন,আঁকা,gb,eR,0
আঁকছেন,আঁকা,gb,in,0
আঁকত,আঁকা,no,ae,0
আঁকত,আঁকা,no,er,0
আঁকতাম,আঁকা,no,am,0
আঁকতিস,আঁকা,no,tu,0
আঁকতে থাকব,আঁকা,gv,am,0
আঁকতে থাকবি,আঁকা,gv,tu,0
আঁকতে থাকবে,আঁকা,gv,ae,0
আঁকতে থাকবে,আঁকা,gv,er,0
আঁকতে থাকবে,আঁকা,gv,tm,0
আঁকতে থাকবেন,আঁকা,gv,ap,0
আঁকতে থাকবেন,আঁকা,gv,eR,0
আঁকতে থাকবেন,আঁকা,gv,in,0
আঁকতে,আঁকা,no,tm,0
আঁকতেন,আঁকা,no,ap,0
আঁকতেন,আঁকা,no,eR,0
আঁকতেন,আঁকা,no,in,0
